City,Country,Latitude,Temperature,Humidity,Cloudiness,Windspeed,Date
maua,BR,-23.6678,80.44,33,100,2.68,1665253040
mataura,NZ,-46.1927,37.71,94,94,3.91,1665253315
rikitea,PF,-23.1203,70.84,68,72,20.27,1665253316
ushuaia,AR,-54.8,47.86,66,75,11.5,1665253294
altay,CN,47.8667,45.59,34,27,8.21,1665253316
vestmanna,FO,62.1564,47.32,93,100,10.36,1665253316
port alfred,ZA,-33.5906,64.18,85,62,4.14,1665253316
lavrentiya,RU,65.5833,30.2,68,69,11.21,1665253202
lagoa,PT,39.05,70.43,91,70,12.8,1665253317
bluff,NZ,-46.6,48.63,68,90,16.22,1665253317
pisco,PE,-13.7,66.25,68,6,8.05,1665253317
hilo,US,19.7297,85.28,83,20,1.01,1665253317
atuona,PF,-9.8,76.78,76,30,21.03,1665253318
busselton,AU,-33.65,53.24,81,10,3.89,1665253318
tiksi,RU,71.6872,17.71,89,100,5.64,1665253318
hithadhoo,MV,-0.6,81.28,76,11,13.89,1665253318
boma,GH,7.0805,74.73,92,91,1.12,1665253318
yellowknife,CA,62.456,46.92,87,75,4.61,1665253318
mar del plata,AR,-38.0023,57.09,61,40,18.41,1665253168
nanortalik,GL,60.1432,36.21,63,2,20.51,1665253318
hermanus,ZA,-34.4187,59.81,83,66,7.34,1665253319
matara,LK,5.9485,76.86,91,24,7.99,1665253319
presidencia roque saenz pena,AR,-26.7852,92.73,20,0,4.38,1665253319
candelaria,PH,13.9311,78.39,95,74,4.61,1665253319
butaritari,KI,3.0707,82.02,74,29,16.06,1665253319
illapel,CL,-31.6308,70.38,45,14,9.91,1665253319
codrington,AU,-38.2667,42.17,86,29,5.19,1665253320
hobart,AU,-42.8794,40.05,90,7,3.44,1665253320
grahamstown,ZA,-33.3042,57.96,61,80,4.74,1665253103
callaway,US,30.153,87.01,39,0,11.5,1665253320
quatre cocos,MU,-20.2078,71.71,69,44,17.87,1665253322
merauke,ID,-8.4667,78.49,92,100,10.2,1665253322
geraldton,AU,-28.7667,48.61,87,32,3.44,1665253166
rio claro,BR,-22.4114,81.95,30,100,5.59,1665253322
itaocara,BR,-21.6692,88.09,47,58,5.73,1665253323
puerto ayora,EC,-0.7393,76.96,89,81,5.99,1665253323
husavik,IS,66.0449,36.88,97,100,7.43,1665253323
